sku,product_name,brand,tool_type,power_source,voltage,weight,chuck_size,battery_included,price_usd,qty_on_hand,image_url,description,warranty_years
PT-1001,Compact Drill Driver 18V,DeWalt,drill,cordless,18 V,1.2 kg,13mm,Yes,$149.00,14,https://img.example.com/pt1001.jpg,Light two-speed drill for cabinet work and general assembly.,3
PT-1002,Heavy Duty Hammer Drill,Dewalt,hammer drill,corded,230 V,3.4 kg,13 mm,No,$219.50,6,https://img.example.com/pt1002.jpg,Concrete-capable percussion drill with depth stop and side handle.,3
PT-1003,Brushless Impact Driver,DEWALT,impact driver,cordless,18 V,1.1 kg,N/A,Yes,$189.99,0,https://img.example.com/pt1003.jpg,High torque fastening in a very short head length.,3
PT-1004,Circular Saw 190mm,Makita,circular saw,corded,230 V,4.1 kg,-,No,$179.00,9,https://img.example.com/pt1004.jpg,Sheet goods and framing saw with cast base and riving knife.,2
PT-1005,Cordless Circular Saw,makita,circular saw,cordless,36 V,3.6 kg,-,Yes,$349.00,3,https://img.example.com/pt1005.jpg,Twin battery saw sized for site work away from power.,2
PT-1006,Random Orbital Sander,Bosch,sander,corded,230 V,1.3 kg,N/A,No,$89.99,21,https://img.example.com/pt1006.jpg,Fine finishing sander with dust extraction port.,2
PT-1007,Angle Grinder 125mm,Bosch,grinder,corded,230 V,2.2 kg,TBD,No,$74.00,17,https://img.example.com/pt1007.jpg,Metal cutting and surface prep grinder with restart protection.,2
PT-1008,Cordless Angle Grinder,bosch,grinder,cordless,18 V,2.0 kg,?,Yes,$229.00,4,https://img.example.com/pt1008.jpg,Brushless grinder with kickback brake for site work.,2
PT-1009,Reciprocating Saw,Milwaukee,reciprocating saw,cordless,18 V,3.0 kg,,Yes,$259.00,5,https://img.example.com/pt1009.jpg,"Demolition saw for timber, nail-embedded stock and pipe.",5
PT-1010,Compact Jigsaw,Milwaukee,jigsaw,cordless,12 V,1.6 kg,N/A,Yes,$169.00,8,https://img.example.com/pt1010.jpg,Curve cutting in sheet material with tool-free blade change.,5
PT-1011,Rotary Hammer SDS Plus,Hilti,rotary hammer,corded,230 V,3.9 kg,-,No,"$1,299.00",2,https://img.example.com/pt1011.jpg,Anchor drilling and light chiselling in reinforced concrete.,2
PT-1012,Cordless Rotary Hammer,Hilti,rotary hammer,cordless,36 V,4.3 kg,-,Yes,"$1,449.00",0,https://img.example.com/pt1012.jpg,Cable free anchor setting with active vibration reduction.,2
PT-1013,Palm Router,Ryobi,router,corded,230 V,1.5 kg,8 mm,No,$99.00,11,https://img.example.com/pt1013.jpg,Edge trimming and small dados in one hand.,3
PT-1014,Plunge Router 1/2in,Ryobi,router,corded,230 V,5.2 kg,12 mm,No,$219.00,3,https://img.example.com/pt1014.jpg,Template work and deeper mortises with fine height adjust.,3
PT-1015,Cordless Drill Driver 12V,Ryobi,drill,cordless,12 V,0.9 kg,10 mm,Yes,$79.00,32,https://img.example.com/pt1015.jpg,"Household repairs and flat pack assembly, very light in hand.",3
PT-1016,Combi Drill 18V,Ryobi,drill,cordless,18 V,1.7 kg,13 mm,No,$119.00,18,https://img.example.com/pt1016.jpg,Masonry capable combi for occasional heavier jobs.,3
PT-1017,Table Saw 254mm,Metabo,table saw,corded,230 V,24.5 kg,N/A,No,$629.00,1,https://img.example.com/pt1017.jpg,Rip capacity for sheet breakdown in a small shop.,3
PT-1018,Mitre Saw 216mm,Metabo,mitre saw,corded,230 V,13.8 kg,-,No,$399.00,4,https://img.example.com/pt1018.jpg,Repeatable crosscuts for trim and framing.,3
PT-1019,Cordless Multi Tool,Einhell,multi tool,cordless,18 V,1.2 kg,N/A,No,$89.00,13,https://img.example.com/pt1019.jpg,"Flush cuts, scraping and sanding in awkward spots.",2
PT-1020,Corded Heat Gun,Einhell,heat gun,corded,230 V,0.8 kg,N/A,No,$39.99,26,https://img.example.com/pt1020.jpg,Paint stripping and shrink fitting with two air settings.,2
PT-1021,Cordless Nailer 18ga,Milwaukee,nailer,cordless,18 V,3.2 kg,-,Yes,$479.00,0,https://img.example.com/pt1021.jpg,Second fix trim nailing with no hose and no compressor.,5
PT-1022,Belt Sander 76mm,Makita,sander,corded,230 V,4.6 kg,N/A,No,$199.00,7,https://img.example.com/pt1022.jpg,Fast stock removal on wide flat timber surfaces.,2
PT-1023,Cordless Impact Wrench,Makita,impact wrench,cordless,18 V,2.5 kg,-,Yes,$339.00,6,https://img.example.com/pt1023.jpg,Automotive and structural fastening at high breakaway torque.,2
PT-1024,Bench Grinder 150mm,Einhell,grinder,corded,230 V,9.4 kg,N/A,No,call for quote,5,https://img.example.com/pt1024.jpg,Tool sharpening and deburring on a fixed bench mount.,TBD
PT-1025,Cordless Blower,Ryobi,blower,cordless,18 V,1.9 kg,N/A,No,$69.00,0,https://img.example.com/pt1025.jpg,Site and yard clearing on the same battery platform.,3
PT-1026,SDS Max Demolition Hammer,Hilti,demolition hammer,corded,230 V,10.2 kg,-,No,"$2,150.00",1,https://img.example.com/pt1026.jpg,Breaking slab and heavy chasing work all day.,2
